"DirectedEdge[{5585902940193, 3, 1}, {5586032080356, 3, 1}]"
"DirectedEdge[{5585902940193, 3, 1}, {5586161220519, 3, 1}]"
"DirectedEdge[{5585902999242, 3, 1}, {5554521939633, 3, 1}]"
"DirectedEdge[{5585902999242, 3, 1}, {5585901404919, 3, 1}]"
"DirectedEdge[{5585902999242, 3, 1}, {5585902881144, 3, 1}]"
"DirectedEdge[{5585902999242, 3, 1}, {5585902940193, 3, 1}]"
"DirectedEdge[{5585902999242, 3, 1}, {5585903001429, 3, 1}]"
"DirectedEdge[{5585902999242, 3, 1}, {5585903003616, 3, 1}]"
"DirectedEdge[{5585902999242, 3, 1}, {5585904593565, 3, 1}]"
"DirectedEdge[{5585902999242, 3, 1}, {5586032139405, 3, 1}]"
"DirectedEdge[{5585902999242, 3, 1}, {5586161279568, 3, 1}]"
"DirectedEdge[{5585904475467, 3, 1}, {5554523415858, 3, 1}]"
"DirectedEdge[{5585904475467, 3, 1}, {5585901286821, 3, 1}]"
"DirectedEdge[{5585904475467, 3, 1}, {5585902881144, 3, 1}]"
"DirectedEdge[{5585904475467, 3, 1}, {5585904477654, 3, 1}]"
"DirectedEdge[{5585904475467, 3, 1}, {5585904479841, 3, 1}]"
"DirectedEdge[{5585904475467, 3, 1}, {5585904534516, 3, 1}]"
"DirectedEdge[{5585904475467, 3, 1}, {5585904593565, 3, 1}]"
"DirectedEdge[{5585904475467, 3, 1}, {5586033615630, 3, 1}]"
"DirectedEdge[{5585904475467, 3, 1}, {5586162755793, 3, 1}]"
"DirectedEdge[{5586030429171, 3, 1}, {5554649369562, 3, 1}]"
"DirectedEdge[{5586030429171, 3, 1}, {5585901289008, 3, 1}]"
"DirectedEdge[{5586030429171, 3, 1}, {5586030426984, 3, 1}]"
"DirectedEdge[{5586030429171, 3, 1}, {5586030431358, 3, 1}]"
"DirectedEdge[{5586030429171, 3, 1}, {5586030488220, 3, 1}]"
"DirectedEdge[{5586030429171, 3, 1}, {5586030547269, 3, 1}]"
"DirectedEdge[{5586030429171, 3, 1}, {5586032023494, 3, 1}]"
"DirectedEdge[{5586030429171, 3, 1}, {5586033617817, 3, 1}]"
"DirectedEdge[{5586030429171, 3, 1}, {5586159569334, 3, 1}]"
"DirectedEdge[{5586030431358, 3, 1}, {5554649371749, 3, 1}]"
"DirectedEdge[{5586030431358, 3, 1}, {5585901291195, 3, 1}]"
"DirectedEdge[{5586030431358, 3, 1}, {5586030426984, 3, 1}]"
"DirectedEdge[{5586030431358, 3, 1}, {5586030429171, 3, 1}]"
"DirectedEdge[{5586030431358, 3, 1}, {5586030490407, 3, 1}]"
"DirectedEdge[{5586030431358, 3, 1}, {5586030549456, 3, 1}]"
"DirectedEdge[{5586030431358, 3, 1}, {5586032025681, 3, 1}]"
"DirectedEdge[{5586030431358, 3, 1}, {5586033620004, 3, 1}]"
"DirectedEdge[{5586030431358, 3, 1}, {5586159571521, 3, 1}]"
"DirectedEdge[{5586030486033, 3, 1}, {5554649426424, 3, 1}]"
"DirectedEdge[{5586030486033, 3, 1}, {5585901345870, 3, 1}]"
"DirectedEdge[{5586030486033, 3, 1}, {5586030426984, 3, 1}]"
"DirectedEdge[{5586030486033, 3, 1}, {5586030488220, 3, 1}]"
"DirectedEdge[{5586030486033, 3, 1}, {5586030490407, 3, 1}]"
"DirectedEdge[{5586030486033, 3, 1}, {5586030545082, 3, 1}]"
"DirectedEdge[{5586030486033, 3, 1}, {5586032080356, 3, 1}]"
"DirectedEdge[{5586030486033, 3, 1}, {5586033674679, 3, 1}]"
"DirectedEdge[{5586030486033, 3, 1}, {5586159626196, 3, 1}]"
"DirectedEdge[{5586030545082, 3, 1}, {5554649485473, 3, 1}]"
"DirectedEdge[{5586030545082, 3, 1}, {5585901404919, 3, 1}]"
"DirectedEdge[{5586030545082, 3, 1}, {5586030426984, 3, 1}]"
"DirectedEdge[{5586030545082, 3, 1}, {5586030486033, 3, 1}]"
"DirectedEdge[{5586030545082, 3, 1}, {5586030547269, 3, 1}]"
"DirectedEdge[{5586030545082, 3, 1}, {5586030549456, 3, 1}]"
"DirectedEdge[{5586030545082, 3, 1}, {5586032139405, 3, 1}]"
"DirectedEdge[{5586030545082, 3, 1}, {5586033733728, 3, 1}]"
"DirectedEdge[{5586030545082, 3, 1}, {5586159685245, 3, 1}]"
"DirectedEdge[{5586032082543, 3, 1}, {5554651022934, 3, 1}]"
"DirectedEdge[{5586032082543, 3, 1}, {5585902942380, 3, 1}]"
"DirectedEdge[{5586032082543, 3, 1}, {5586030488220, 3, 1}]"
"DirectedEdge[{5586032082543, 3, 1}, {5586032023494, 3, 1}]"
"DirectedEdge[{5586032082543, 3, 1}, {5586032080356, 3, 1}]"
"DirectedEdge[{5586032082543, 3, 1}, {5586032084730, 3, 1}]"
"DirectedEdge[{5586032082543, 3, 1}, {5586032141592, 3, 1}]"
"DirectedEdge[{5586032082543, 3, 1}, {5586033676866, 3, 1}]"
"DirectedEdge[{5586032082543, 3, 1}, {5586161222706, 3, 1}]"
"DirectedEdge[{5586032084730, 3, 1}, {5554651025121, 3, 1}]"
"DirectedEdge[{5586032084730, 3, 1}, {5585902944567, 3, 1}]"
"DirectedEdge[{5586032084730, 3, 1}, {5586030490407, 3, 1}]"
"DirectedEdge[{5586032084730, 3, 1}, {5586032025681, 3, 1}]"
"DirectedEdge[{5586032084730, 3, 1}, {5586032080356, 3, 1}]"
"DirectedEdge[{5586032084730, 3, 1}, {5586032082543, 3, 1}]"
"DirectedEdge[{5586032084730, 3, 1}, {5586032143779, 3, 1}]"
"DirectedEdge[{5586032084730, 3, 1}, {5586033679053, 3, 1}]"
"DirectedEdge[{5586032084730, 3, 1}, {5586161224893, 3, 1}]"
"DirectedEdge[{5586032141592, 3, 1}, {5554651081983, 3, 1}]"
"DirectedEdge[{5586032141592, 3, 1}, {5585903001429, 3, 1}]"
"DirectedEdge[{5586032141592, 3, 1}, {5586030547269, 3, 1}]"
"DirectedEdge[{5586032141592, 3, 1}, {5586032023494, 3, 1}]"
"DirectedEdge[{5586032141592, 3, 1}, {5586032082543, 3, 1}]"
"DirectedEdge[{5586032141592, 3, 1}, {5586032139405, 3, 1}]"
"DirectedEdge[{5586032141592, 3, 1}, {5586032143779, 3, 1}]"
"DirectedEdge[{5586032141592, 3, 1}, {5586033735915, 3, 1}]"
"DirectedEdge[{5586032141592, 3, 1}, {5586161281755, 3, 1}]"
"DirectedEdge[{5586032143779, 3, 1}, {5554651084170, 3, 1}]"
"DirectedEdge[{5586032143779, 3, 1}, {5585903003616, 3, 1}]"
"DirectedEdge[{5586032143779, 3, 1}, {5586030549456, 3, 1}]"
"DirectedEdge[{5586032143779, 3, 1}, {5586032025681, 3, 1}]"
"DirectedEdge[{5586032143779, 3, 1}, {5586032084730, 3, 1}]"
"DirectedEdge[{5586032143779, 3, 1}, {5586032139405, 3, 1}]"
"DirectedEdge[{5586032143779, 3, 1}, {5586032141592, 3, 1}]"
"DirectedEdge[{5586032143779, 3, 1}, {5586033738102, 3, 1}]"
"DirectedEdge[{5586032143779, 3, 1}, {5586161283942, 3, 1}]"
"DirectedEdge[{5586033617817, 3, 1}, {5554652558208, 3, 1}]"
"DirectedEdge[{5586033617817, 3, 1}, {5585904477654, 3, 1}]"
"DirectedEdge[{5586033617817, 3, 1}, {5586030429171, 3, 1}]"
"DirectedEdge[{5586033617817, 3, 1}, {5586032023494, 3, 1}]"
"DirectedEdge[{5586033617817, 3, 1}, {5586033615630, 3, 1}]"
"DirectedEdge[{5586033617817, 3, 1}, {5586033620004, 3, 1}]"
